patch_id,asset,cve,version_before,version_after,patch_release_date,testing_start_date,testing_end_date,deployment_date,deployment_success,deployment_rollback,downtime_minutes,risk_reduction_percent
PATCH_001,Financial_Transaction_Server,CVE-2021-44228,1.0.0,1.0.1,2021-12-24,2021-12-24,2021-12-27,2021-12-28,Yes,No,15,92
PATCH_002,Database_Cluster,CVE-2022-21896,8.0.0,8.0.2,2022-02-25,2022-02-25,2022-03-04,2022-03-05,Yes,No,45,87
PATCH_003,Authentication_Service,CVE-2021-3129,2.5.0,2.5.1,2021-12-10,2021-12-10,2021-12-15,2021-12-16,Yes,No,10,91
PATCH_004,API_Gateway,CVE-2022-24765,3.2.0,3.2.1,2022-04-15,2022-04-15,2022-04-20,2022-04-22,Yes,No,20,78
PATCH_005,Admin_Console,CVE-2021-39165,5.0.0,5.0.2,2021-10-25,2021-10-25,2021-11-01,2021-11-02,Yes,No,30,95
PATCH_006,Backup_Storage,CVE-2022-0540,4.1.0,4.1.1,2022-03-20,2022-03-20,2022-03-28,2022-03-30,Yes,Yes,120,72
PATCH_007,VPN_Gateway,CVE-2021-44228,2.0.0,2.0.1,2021-12-24,2021-12-24,2022-01-06,2022-01-07,Yes,No,60,90
PATCH_008,Load_Balancer,CVE-2022-3786,6.5.0,6.5.2,2022-07-10,2022-07-10,2022-07-18,2022-07-20,Yes,No,5,68
PATCH_009,Email_Server,CVE-2021-21985,14.0.0,14.0.3,2022-02-05,2022-02-05,2022-02-15,2022-02-17,Yes,No,30,85
PATCH_010,DNS_Service,CVE-2022-21123,9.8.0,9.8.3,2022-02-28,2022-02-28,2022-03-10,2022-03-12,Yes,No,10,89
